filename, anold chiari malformation, arachnoid cyst, cerebellah hypoplasia, cisterna magna, colphocephaly, encephalocele, holoprosencephaly, hydracenphaly, intracranial hemorrdge, intracranial tumor, mild ventriculomegaly, moderate ventriculomegaly, polencephaly, severe ventriculomegaly
intracranial-hemorrdge-22m_aug_3_png_jpg.rf.002a761cd8c2ab024deacfbfab8e1b84.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
encephalocele-20c_aug_3_png_jpg.rf.00da1eb2a8e5d9dfa66b6eeda6408e80.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
intracnanial-hemorrdge-22d_aug_4_png_jpg.rf.00fff2e534763e7a7b12d4e630107414.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
moderate-ventriculomegaly-31c_aug_1_png_jpg.rf.030efddb50a4cc742d47b1852f2bc2ac.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
severe-ventriculomegaly-26c_aug_0_png_jpg.rf.02ecc7200475103b02f4689d1c378494.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
encephalocele-20c_aug_1_png_jpg.rf.009c555f418a09dcfd3b01e7dc197e54.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
moderate-ventriculomegaly-31b_aug_1_png_jpg.rf.03703deca2970538b319f190670d05e7.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
mild-ventriculomegaly-30j_aug_4_png_jpg.rf.015ff2235cbccc81076dab66bccb1654.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
mild-ventriculomegaly-30k_aug_2_png_jpg.rf.0275e0ca145cdbbb07c7df3d3240e321.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
polencephaly-23k_aug_4_png_jpg.rf.02e8f36b26243d55fb8e04cb2da86519.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
encephalocele-20a_aug_2_png_jpg.rf.02baa690b0fb0a97b89a8b6e159ce54b.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
moderate-ventriculomegaly_22b_aug_4_png_jpg.rf.023e40680cb03a4b991befa787111345.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
polencephaly-24b_aug_4_png_jpg.rf.0461be6d1728343cfbac6e530337a7bd.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
encephalocele33f-image_aug_4_png_jpg.rf.042ee90cb4841d31a0525356f4a4c282.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
mild-ventriculomegaly-26b_aug_5_png_jpg.rf.050b6c4df5b52bda86f22d46a97e338b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
moderate-ventriculomegaly-34b_aug_2_png_jpg.rf.049a07439ab5696a059080aaab5fd527.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
hydracenphay_15j_aug_2_png_jpg.rf.048f8675e267a6e79d7ec50b435b43e4.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
severe-ventriculomegaly-19a_aug_5_png_jpg.rf.01ad442fd0c00c0350e78474d59f18ea.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
mild-ventriculomegaly-30a_aug_2_png_jpg.rf.05b2d509c666426ac3dad4c110f3690b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
mild-ventriculomegaly-26b_aug_1_png_jpg.rf.0573a96f62c8bcabee9f06adf34d2680.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
encephalocele-23b_aug_1_png_jpg.rf.051367992794870e32fe4c3cc247058a.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
